KPI_SK,KPI_DATAELEMENT_SK,KPI_NAME,KPI_DESC,KPI_DATAELEMENT_NAME,KPI_GROUP,KPI_LEVEL,NUMERIC_VALUE,UOM,PERIOD,START_DATE,END_DATE,TARGET_VALUE,TRENDING_DIRECTION,PRIORITY_OUTCOME,PRIORITY_OUTCOME_DESC,PRIORITY_NAME,PRIORITY_AREA_NAME,PRIORITY_AREA_DESC
51,2510,Overnight Stays in Hotels and Room Shares ,Total number of overnight stays in Hotels and Room Shares in the Municipality (Discover Halifax data) ,Current Overnight Stays in Hotels and Room Shares ,,1,908990,,2020,1/4/2020,31/03/2021,,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
51,2510,Overnight Stays in Hotels and Room Shares ,Total number of overnight stays in Hotels and Room Shares in the Municipality (Discover Halifax data) ,Current Overnight Stays in Hotels and Room Shares ,,1,1768524,,2018,1/4/2018,31/03/2019,,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
51,2510,Overnight Stays in Hotels and Room Shares ,Total number of overnight stays in Hotels and Room Shares in the Municipality (Discover Halifax data) ,Current Overnight Stays in Hotels and Room Shares ,,1,1906906,,2019,1/4/2019,31/03/2020,,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
53,2512,Total number of new residential units from permits issued,"Total number of new residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Total number of new residential units from permits issued,E,1,2519,,2016,1/4/2016,31/03/2017,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
53,2512,Total number of new residential units from permits issued,"Total number of new residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Total number of new residential units from permits issued,E,1,3060,,2017,1/4/2017,31/03/2018,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
53,2512,Total number of new residential units from permits issued,"Total number of new residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Total number of new residential units from permits issued,E,1,3140,,2018,1/4/2018,31/03/2019,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
53,2512,Total number of new residential units from permits issued,"Total number of new residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Total number of new residential units from permits issued,E,1,3739,,2020,1/4/2020,31/03/2021,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
53,2512,Total number of new residential units from permits issued,"Total number of new residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Total number of new residential units from permits issued,E,1,4132,,2019,1/4/2019,31/03/2020,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
54,2514,Number of new low-density residential units from permits issued,"Number of new low-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new low-density residential units from permits issued,E,2,875,,2016,1/4/2016,31/03/2017,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
54,2514,Number of new low-density residential units from permits issued,"Number of new low-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new low-density residential units from permits issued,E,2,996,,2017,1/4/2017,31/03/2018,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
54,2514,Number of new low-density residential units from permits issued,"Number of new low-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new low-density residential units from permits issued,E,2,1012,,2018,1/4/2018,31/03/2019,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
54,2514,Number of new low-density residential units from permits issued,"Number of new low-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new low-density residential units from permits issued,E,2,1240,,2019,1/4/2019,31/03/2020,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
54,2514,Number of new low-density residential units from permits issued,"Number of new low-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new low-density residential units from permits issued,E,2,1459,,2020,1/4/2020,31/03/2021,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
55,2516,Number of new high-density residential units from permits issued,"Number of new high-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new high-density residential units from permits issued,E,2,1644,,2016,1/4/2016,31/03/2017,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
55,2516,Number of new high-density residential units from permits issued,"Number of new high-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new high-density residential units from permits issued,E,2,2064,,2017,1/4/2017,31/03/2018,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
55,2516,Number of new high-density residential units from permits issued,"Number of new high-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new high-density residential units from permits issued,E,2,2128,,2018,1/4/2018,31/03/2019,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
55,2516,Number of new high-density residential units from permits issued,"Number of new high-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new high-density residential units from permits issued,E,2,2280,,2020,1/4/2020,31/03/2021,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
55,2516,Number of new high-density residential units from permits issued,"Number of new high-density residential units resulting from permits issued (Regional Centre, Suburbs, Rural, Municipal data)",Current Number of new high-density residential units from permits issued,E,2,2892,,2019,1/4/2019,31/03/2020,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
57,2518,Quality of life score (Percentage),Percentage of residents that rate the quality of life in the Municipality as 'good' or 'very good' (Municipal data),Current Quality of life score (Percentage),,1,77,%,2010,1/4/2010,31/03/2011,,UP,Inclusive Communities,"Residents are empowered as stewards and advocates for their communities, and work with the Municipality and others to remove systemic barriers.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
57,2518,Quality of life score (Percentage),Percentage of residents that rate the quality of life in the Municipality as 'good' or 'very good' (Municipal data),Current Quality of life score (Percentage),,1,84.4,%,2020,1/4/2020,31/03/2021,,UP,Inclusive Communities,"Residents are empowered as stewards and advocates for their communities, and work with the Municipality and others to remove systemic barriers.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
57,2518,Quality of life score (Percentage),Percentage of residents that rate the quality of life in the Municipality as 'good' or 'very good' (Municipal data),Current Quality of life score (Percentage),,1,94,%,2012,1/4/2012,31/03/2013,,UP,Inclusive Communities,"Residents are empowered as stewards and advocates for their communities, and work with the Municipality and others to remove systemic barriers.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
57,2518,Quality of life score (Percentage),Percentage of residents that rate the quality of life in the Municipality as 'good' or 'very good' (Municipal data),Current Quality of life score (Percentage),,1,96,%,2018,1/4/2018,31/03/2019,,UP,Inclusive Communities,"Residents are empowered as stewards and advocates for their communities, and work with the Municipality and others to remove systemic barriers.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
58,2520,Average rent in the Municipality - all unit types (Dollars),"Average rent in the Municipality - Bachelor, one-bed, two-bed, three-bed units  (Canada Mortgage and Housing Corporation data)",Current Average rent in the Municipality - all unit types (Dollars),PP,1,987,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
58,2520,Average rent in the Municipality - all unit types (Dollars),"Average rent in the Municipality - Bachelor, one-bed, two-bed, three-bed units  (Canada Mortgage and Housing Corporation data)",Current Average rent in the Municipality - all unit types (Dollars),PP,1,1027,$,2017,1/4/2017,31/03/2018,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
58,2520,Average rent in the Municipality - all unit types (Dollars),"Average rent in the Municipality - Bachelor, one-bed, two-bed, three-bed units  (Canada Mortgage and Housing Corporation data)",Current Average rent in the Municipality - all unit types (Dollars),PP,1,1066,$,2018,1/4/2018,31/03/2019,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
58,2520,Average rent in the Municipality - all unit types (Dollars),"Average rent in the Municipality - Bachelor, one-bed, two-bed, three-bed units  (Canada Mortgage and Housing Corporation data)",Current Average rent in the Municipality - all unit types (Dollars),PP,1,1113,$,2019,1/4/2019,31/03/2020,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
58,2520,Average rent in the Municipality - all unit types (Dollars),"Average rent in the Municipality - Bachelor, one-bed, two-bed, three-bed units  (Canada Mortgage and Housing Corporation data)",Current Average rent in the Municipality - all unit types (Dollars),PP,1,1170,$,2020,1/4/2020,31/03/2021,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
59,2522,Average rent for a bachelor unit  (Dollars),Average bachelor unit rent  - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a bachelor unit  (Dollars),PP,2,758,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
59,2522,Average rent for a bachelor unit  (Dollars),Average bachelor unit rent  - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a bachelor unit  (Dollars),PP,2,780,$,2017,1/4/2017,31/03/2018,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
59,2522,Average rent for a bachelor unit  (Dollars),Average bachelor unit rent  - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a bachelor unit  (Dollars),PP,2,812,$,2018,1/4/2018,31/03/2019,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
59,2522,Average rent for a bachelor unit  (Dollars),Average bachelor unit rent  - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a bachelor unit  (Dollars),PP,2,812,$,2019,1/4/2019,31/03/2020,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
59,2522,Average rent for a bachelor unit  (Dollars),Average bachelor unit rent  - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a bachelor unit  (Dollars),PP,2,865,$,2020,1/4/2020,31/03/2021,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
60,2524,Average rent for a one-bedroom unit  (Dollars),Average one-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a one-bedroom unit  (Dollars),PP,2,846,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
60,2524,Average rent for a one-bedroom unit  (Dollars),Average one-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a one-bedroom unit  (Dollars),PP,2,881,$,2017,1/4/2017,31/03/2018,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
60,2524,Average rent for a one-bedroom unit  (Dollars),Average one-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a one-bedroom unit  (Dollars),PP,2,904,$,2018,1/4/2018,31/03/2019,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
60,2524,Average rent for a one-bedroom unit  (Dollars),Average one-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a one-bedroom unit  (Dollars),PP,2,960,$,2019,1/4/2019,31/03/2020,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
60,2524,Average rent for a one-bedroom unit  (Dollars),Average one-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a one-bedroom unit  (Dollars),PP,2,1015,$,2020,1/4/2020,31/03/2021,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
61,2526,Average rent for a two-bedroom unit  (Dollars),Average two-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a two-bedroom unit  (Dollars),PP,2,1063,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
61,2526,Average rent for a two-bedroom unit  (Dollars),Average two-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a two-bedroom unit  (Dollars),PP,2,1109,$,2017,1/4/2017,31/03/2018,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
61,2526,Average rent for a two-bedroom unit  (Dollars),Average two-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a two-bedroom unit  (Dollars),PP,2,1156,$,2018,1/4/2018,31/03/2019,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
61,2526,Average rent for a two-bedroom unit  (Dollars),Average two-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a two-bedroom unit  (Dollars),PP,2,1202,$,2019,1/4/2019,31/03/2020,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
61,2526,Average rent for a two-bedroom unit  (Dollars),Average two-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a two-bedroom unit  (Dollars),PP,2,1254,$,2020,1/4/2020,31/03/2021,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
62,2528,Average rent for a three-bedroom unit  (Dollars),Average three-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a three-bedroom unit  (Dollars),PP,2,1290,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
62,2528,Average rent for a three-bedroom unit  (Dollars),Average three-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a three-bedroom unit  (Dollars),PP,2,1320,$,2017,1/4/2017,31/03/2018,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
62,2528,Average rent for a three-bedroom unit  (Dollars),Average three-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a three-bedroom unit  (Dollars),PP,2,1362,$,2018,1/4/2018,31/03/2019,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
62,2528,Average rent for a three-bedroom unit  (Dollars),Average three-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a three-bedroom unit  (Dollars),PP,2,1393,$,2019,1/4/2019,31/03/2020,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
62,2528,Average rent for a three-bedroom unit  (Dollars),Average three-bedroom unit rent - Row and apartment structures of three units and over (Canada Mortgage and Housing Corporation data),Current Average rent for a three-bedroom unit  (Dollars),PP,2,1458,$,2020,1/4/2020,31/03/2021,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
63,2530,Annual Change in Purchasing Power (Percentage),Annual Change in Purchasing Power measures the change in the financial ability of Haligonians to buy goods/services (Halifax Partnership data) ,Current Annual Change in Purchasing Power (Percentage),,1,-0.9,%,2016,1/4/2016,31/03/2017,,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
63,2530,Annual Change in Purchasing Power (Percentage),Annual Change in Purchasing Power measures the change in the financial ability of Haligonians to buy goods/services (Halifax Partnership data) ,Current Annual Change in Purchasing Power (Percentage),,1,0.9,%,2018,1/4/2018,31/03/2019,,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
63,2530,Annual Change in Purchasing Power (Percentage),Annual Change in Purchasing Power measures the change in the financial ability of Haligonians to buy goods/services (Halifax Partnership data) ,Current Annual Change in Purchasing Power (Percentage),,1,1.7,%,2017,1/4/2017,31/03/2018,,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
63,2530,Annual Change in Purchasing Power (Percentage),Annual Change in Purchasing Power measures the change in the financial ability of Haligonians to buy goods/services (Halifax Partnership data) ,Current Annual Change in Purchasing Power (Percentage),,1,6.6,%,2019,1/4/2019,31/03/2020,,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
64,2532,Average shelter cost (Dollars),"Total average shelter cost  - owner mortgaged, owner without mortgage, renter, subsidized, non-subsidized, (Census, Statistics Canada)",Current Average shelter cost (Dollars),PQ,1,1232,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
65,2534,Average owner with mortgage shelter cost (Dollars),"Average owner with mortgage shelter cost (Census, Statistics Canada)",Current Average owner with mortgage shelter cost (Dollars),PQ,2,1768,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
66,2536,Average owner without mortgage shelter cost (Dollars),"Average owner without mortgage shelter cost (Census, Statistics Canada)",Current Average owner without mortgage shelter cost (Dollars),PQ,2,770,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
67,2538,Average Renter shelter cost (Dollars),"Average Renter shelter cost (Census, Statistics Canada)",Current Average Renter shelter cost (Dollars),PQ,2,1060,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
68,2540,Averaged Subsidized housing cost (Dollars),"Averaged Subsidized housing cost (Census, Statistics Canada)",Current Averaged Subsidized housing cost (Dollars),PQ,2,696,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
69,2542,Average not subsidized housing cost (Dollars),"Average not subsidized housing cost (Census, Statistics Canada)",Current Average not subsidized housing cost (Dollars),PQ,2,1101,$,2016,1/4/2016,31/03/2017,,MONITOR,Affordable Communities,"The municipality demonstrates leadership and fosters partnerships that provide access to a full range of quality, affordable housing options in safe and vibrant neighborhoods.",Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
70,2544,Total value of construction in the Municipality ($ millions),Total value of construction in the Municipality (Municipal data),Current Total value of construction in the Municipality ($ millions),C,1,670.86,$ millions,2016,1/4/2016,31/03/2017,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
70,2544,Total value of construction in the Municipality ($ millions),Total value of construction in the Municipality (Municipal data),Current Total value of construction in the Municipality ($ millions),C,1,880.93,$ millions,2018,1/4/2018,31/03/2019,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
70,2544,Total value of construction in the Municipality ($ millions),Total value of construction in the Municipality (Municipal data),Current Total value of construction in the Municipality ($ millions),C,1,968.4,$ millions,2017,1/4/2017,31/03/2018,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
70,2544,Total value of construction in the Municipality ($ millions),Total value of construction in the Municipality (Municipal data),Current Total value of construction in the Municipality ($ millions),C,1,1008.83,$ millions,2020,1/4/2020,31/03/2021,,UP,Holistic Planning,"Comprehensive integrated planning is undertaken in consideration of the economic, social and environmental implications of how our communities grow and develop.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
